entity_id,state,last_changed
sensor.buro_rack_monitor_rack_temp_1,38.125,2026-07-13T06:38:57.764Z
sensor.buro_rack_monitor_rack_temp_1,38.0625,2026-07-13T06:39:12.740Z
sensor.buro_rack_monitor_rack_temp_1,38.0,2026-07-13T06:39:42.741Z
sensor.buro_rack_monitor_rack_temp_1,37.9375,2026-07-13T06:40:12.740Z
sensor.buro_rack_monitor_rack_temp_1,37.875,2026-07-13T06:41:27.924Z
sensor.buro_rack_monitor_rack_temp_1,37.8125,2026-07-13T06:42:27.905Z
sensor.buro_rack_monitor_rack_temp_1,37.75,2026-07-13T06:44:12.747Z
sensor.buro_rack_monitor_rack_temp_1,37.8125,2026-07-13T06:46:42.744Z
sensor.buro_rack_monitor_rack_temp_1,37.75,2026-07-13T06:46:57.786Z
sensor.buro_rack_monitor_rack_temp_1,37.8125,2026-07-13T06:51:12.744Z
sensor.buro_rack_monitor_rack_temp_1,37.75,2026-07-13T06:51:57.822Z
sensor.buro_rack_monitor_rack_temp_1,37.8125,2026-07-13T06:55:57.806Z
sensor.buro_rack_monitor_rack_temp_1,37.75,2026-07-13T06:57:27.884Z
sensor.buro_rack_monitor_rack_temp_1,37.5625,2026-07-13T06:57:42.746Z
sensor.buro_rack_monitor_rack_temp_1,37.5,2026-07-13T06:57:57.975Z
sensor.buro_rack_monitor_rack_temp_1,37.4375,2026-07-13T06:58:12.747Z
sensor.buro_rack_monitor_rack_temp_1,37.375,2026-07-13T06:58:42.749Z
sensor.buro_rack_monitor_rack_temp_1,37.4375,2026-07-13T06:59:27.814Z
sensor.buro_rack_monitor_rack_temp_1,37.375,2026-07-13T06:59:42.748Z
sensor.buro_rack_monitor_rack_temp_1,37.4375,2026-07-13T06:59:57.774Z
sensor.buro_rack_monitor_rack_temp_1,37.5,2026-07-13T07:00:27.908Z
sensor.buro_rack_monitor_rack_temp_1,37.5625,2026-07-13T07:00:42.751Z
sensor.buro_rack_monitor_rack_temp_1,37.625,2026-07-13T07:00:57.747Z
sensor.buro_rack_monitor_rack_temp_1,37.6875,2026-07-13T07:01:42.747Z
sensor.buro_rack_monitor_rack_temp_1,37.75,2026-07-13T07:01:57.748Z
sensor.buro_rack_monitor_rack_temp_1,37.8125,2026-07-13T07:02:27.748Z
sensor.buro_rack_monitor_rack_temp_1,37.875,2026-07-13T07:02:42.749Z
sensor.buro_rack_monitor_rack_temp_1,37.9375,2026-07-13T07:03:12.750Z
sensor.buro_rack_monitor_rack_temp_1,38.0,2026-07-13T07:03:57.753Z
sensor.buro_rack_monitor_rack_temp_1,37.625,2026-07-13T07:04:27.749Z
sensor.buro_rack_monitor_rack_temp_1,35.0,2026-07-13T07:04:42.750Z
sensor.buro_rack_monitor_rack_temp_1,33.3125,2026-07-13T07:04:57.749Z
sensor.buro_rack_monitor_rack_temp_1,32.3125,2026-07-13T07:05:12.749Z
sensor.buro_rack_monitor_rack_temp_1,31.75,2026-07-13T07:05:27.749Z
sensor.buro_rack_monitor_rack_temp_1,31.25,2026-07-13T07:05:42.749Z
sensor.buro_rack_monitor_rack_temp_1,30.9375,2026-07-13T07:05:57.750Z
sensor.buro_rack_monitor_rack_temp_1,30.75,2026-07-13T07:06:12.750Z
sensor.buro_rack_monitor_rack_temp_1,30.5625,2026-07-13T07:06:27.753Z
sensor.buro_rack_monitor_rack_temp_1,30.4375,2026-07-13T07:06:42.749Z
sensor.buro_rack_monitor_rack_temp_1,30.375,2026-07-13T07:06:57.751Z
sensor.buro_rack_monitor_rack_temp_1,30.3125,2026-07-13T07:07:27.749Z
sensor.buro_rack_monitor_rack_temp_1,30.25,2026-07-13T07:07:42.750Z
sensor.buro_rack_monitor_rack_temp_1,30.3125,2026-07-13T07:08:27.749Z
sensor.buro_rack_monitor_rack_temp_1,30.25,2026-07-13T07:08:42.750Z
sensor.buro_rack_monitor_rack_temp_1,30.3125,2026-07-13T07:09:57.750Z
sensor.buro_rack_monitor_rack_temp_1,30.375,2026-07-13T07:11:57.750Z
sensor.buro_rack_monitor_rack_temp_1,30.4375,2026-07-13T07:13:57.754Z
sensor.buro_rack_monitor_rack_temp_1,30.375,2026-07-13T07:14:12.751Z
sensor.buro_rack_monitor_rack_temp_1,30.4375,2026-07-13T07:14:27.752Z
sensor.buro_rack_monitor_rack_temp_1,30.5,2026-07-13T07:16:27.754Z
sensor.buro_rack_monitor_rack_temp_1,30.5625,2026-07-13T07:17:27.753Z
sensor.buro_rack_monitor_rack_temp_1,30.5,2026-07-13T07:17:42.753Z
sensor.buro_rack_monitor_rack_temp_1,30.5625,2026-07-13T07:18:12.752Z
sensor.buro_rack_monitor_rack_temp_1,30.5,2026-07-13T07:18:27.753Z
sensor.buro_rack_monitor_rack_temp_1,30.5625,2026-07-13T07:18:42.754Z
sensor.buro_rack_monitor_rack_temp_1,30.625,2026-07-13T07:19:27.752Z
sensor.buro_rack_monitor_rack_temp_1,30.6875,2026-07-13T07:21:12.755Z
sensor.buro_rack_monitor_rack_temp_1,30.625,2026-07-13T07:21:27.753Z
sensor.buro_rack_monitor_rack_temp_1,30.6875,2026-07-13T07:21:42.759Z
sensor.buro_rack_monitor_rack_temp_1,30.625,2026-07-13T07:22:12.753Z
sensor.buro_rack_monitor_rack_temp_1,30.6875,2026-07-13T07:22:27.754Z
sensor.buro_rack_monitor_rack_temp_1,30.75,2026-07-13T07:23:57.754Z
sensor.buro_rack_monitor_rack_temp_1,30.6875,2026-07-13T07:24:12.754Z
sensor.buro_rack_monitor_rack_temp_1,30.75,2026-07-13T07:24:42.754Z
sensor.buro_rack_monitor_rack_temp_1,30.8125,2026-07-13T07:25:57.754Z
sensor.buro_rack_monitor_rack_temp_1,30.75,2026-07-13T07:26:27.758Z
sensor.buro_rack_monitor_rack_temp_1,30.8125,2026-07-13T07:26:43.239Z
sensor.buro_rack_monitor_rack_temp_1,30.875,2026-07-13T07:28:27.756Z
sensor.buro_rack_monitor_rack_temp_1,30.8125,2026-07-13T07:28:42.759Z
sensor.buro_rack_monitor_rack_temp_1,30.875,2026-07-13T07:29:42.755Z
sensor.buro_rack_monitor_rack_temp_1,30.9375,2026-07-13T07:31:57.756Z
sensor.buro_rack_monitor_rack_temp_1,30.875,2026-07-13T07:32:12.758Z
sensor.buro_rack_monitor_rack_temp_1,30.9375,2026-07-13T07:32:27.756Z
sensor.buro_rack_monitor_rack_temp_1,30.875,2026-07-13T07:32:42.757Z
sensor.buro_rack_monitor_rack_temp_1,30.9375,2026-07-13T07:32:57.756Z
sensor.buro_rack_monitor_rack_temp_1,31.0,2026-07-13T07:35:57.761Z
sensor.buro_rack_monitor_rack_temp_1,31.0625,2026-07-13T07:37:12.757Z
sensor.buro_rack_monitor_rack_temp_1,31.125,2026-07-13T07:37:57.758Z
sensor.buro_rack_monitor_rack_temp_1,31.0625,2026-07-13T07:38:42.758Z
sensor.buro_rack_monitor_rack_temp_1,31.125,2026-07-13T07:38:57.758Z
sensor.buro_rack_monitor_rack_temp_1,31.0625,2026-07-13T07:39:12.758Z
sensor.buro_rack_monitor_rack_temp_1,31.125,2026-07-13T07:39:27.762Z
sensor.buro_rack_monitor_rack_temp_1,31.1875,2026-07-13T07:40:12.758Z
sensor.buro_rack_monitor_rack_temp_1,31.125,2026-07-13T07:40:27.758Z
sensor.buro_rack_monitor_rack_temp_1,31.1875,2026-07-13T07:41:57.759Z
sensor.buro_rack_monitor_rack_temp_1,31.125,2026-07-13T07:42:12.759Z
sensor.buro_rack_monitor_rack_temp_1,31.1875,2026-07-13T07:43:12.778Z
sensor.buro_rack_monitor_rack_temp_1,31.25,2026-07-13T07:46:42.873Z
